country,score,gdp,social,health,freedom,generosity,trust,year,iso_alpha,region,sub_region,dystopia_residual
Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2015,KGZ,Asia,Central Asia,2.2322999999999995
Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2015,NGA,Africa,Sub-Saharan Africa,2.8932899999999995
Bhutan,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,2015,BTN,Asia,Southern Asia,1.6380700000000004
Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2015,AZE,Asia,Western Asia,2.00079
Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,2015,PAK,Asia,Southern Asia,3.10743
Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,2015,JOR,Asia,Western Asia,1.8796400000000002
Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2015,MNE,Europe,Southern Europe,2.09988
China,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,2015,CHN,Asia,Eastern Asia,1.8599199999999994
Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2015,ZMB,Africa,Sub-Saharan Africa,2.6343999999999994
Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,2015,ROU,Europe,Eastern Europe,1.9311199999999995
Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2015,SRB,Europe,Southern Europe,2.0249200000000003
Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,2015,PRT,Europe,Southern Europe,1.2648900000000003
Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,2015,LVA,Europe,Northern Europe,1.6225999999999998
Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,2015,PHL,Asia,South-eastern Asia,1.7532300000000003
Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,2015,SOM,Africa,Eastern Africa,2.1100000000000003
Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,2015,MAR,Africa,Northern Africa,2.45363
Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,2015,MKD,Europe,Southern Europe,1.7392899999999996
Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,2015,MOZ,Africa,Sub-Saharan Africa,3.05126
Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,2015,ALB,Europe,Southern Europe,1.8985599999999994
Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2015,BIH,Europe,Southern Europe,2.0639999999999996
Lesotho,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,2015,LSO,Africa,Sub-Saharan Africa,2.7988099999999996
Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,2015,DOM,Americas,Latin America and the Caribbean,1.21346
Laos,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,2015,LAO,Asia,South-eastern Asia,1.7379000000000002
Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,2015,MNG,Asia,Eastern Asia,1.3473099999999998
Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015,SWZ,Africa,Sub-Saharan Africa,2.48667
Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,2015,GRC,Europe,Southern Europe,1.8005200000000001
Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,2015,LBN,Asia,Western Asia,1.5703600000000004
Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,2015,HUN,Europe,Eastern Europe,1.2411599999999998
Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,2015,HND,Americas,Latin America and the Caribbean,1.8441000000000005
Tajikistan,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2015,TJK,Asia,Central Asia,2.113489999999999
Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2015,TUN,Africa,Northern Africa,2.12508
Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2015,PSE,Asia,Western Asia,2.04405
Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2015,BGD,Asia,Southern Asia,2.5176600000000002
Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,2015,IRN,Asia,Southern Asia,1.6948600000000003
Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015,UKR,Europe,Eastern Europe,1.5716599999999996
Iraq,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788,2015,IRQ,Asia,Western Asia,1.9531499999999995
South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,2015,ZAF,Africa,Sub-Saharan Africa,1.7193100000000001
